Sr.No.,Category,Name of Book,Author,Acc.No,Price ,quantity,availibility,Rack No.,accession_date,Classification/Section No.,Publisher ,Publisher Place,year,Pages,ISBN,Receipt No.,added_on
456,Reference,Engragitil Shabdasamarthya,"Gothi,Javaharlal",B.Ed/456,25,1,,10,,372.3946/GOT,Rahul Book Centre,Nashik,1991,122,,,
457,Reference,"Bhartiyanshi Hitaguj-1 ; Bhartiya Sanskruti Sanrakshak Vibhuti, Samrat Ashok te Rajiv Gandhi","Joshi,M.C.",B.Ed/457,60,1,,10,,891.46/JOS,Alaklata Prakashan,Dabhade,1989,168,,,
458,Reference,Abhayaranya,"Kurundakar,Narhar",B.Ed/458,35,1,,10,,891.46/KUR,Indrayani Sahitya Prakashan,Pune,1991,118,,,
459,Reference,Nagarikanchi sanad,Grahak Samanvay parishad,B.Ed/459,,1,,10,,891.46/GRA,Grahak Samanvay parishad,New Delhi,,12,,,
460,Reference,Aajche Marathi sahitya(Dr.V.B.Prabhudesai Gauravgranth),"Savdekar,Aasha;Aapte,Pradnya",B.Ed/460,180,1,,10,,891.46/SAV,Sahitya Prasar Kendra ,Nagapur,1995,279,,,
461,Reference,Ratrandin Aamha,"Bhargave,Bhavana",B.Ed/461,75,1,,10,,370/BHA,Bhavsarita Prakashan,Nashik,1990,206,,,
462,Biography,Shikshanmaharshi Dr.Bapuji Salunkhe-Shodh aani Bodh,"Thoke,M.N.",B.Ed/462,50,1,,10,,370/THO,Parakh Prakashan,Belgaon,1889,164,,,
463,Poetry,Chanda,"Atre,Prabhakar",B.Ed/463,10,1,,10,,891/ATR,Pratima Prakashan,Pune,1987,64,,,
464,Reference,Marathi Kaviteche Adhyapan,"Bhargave,Bhavana",B.Ed/464,40,1,,10,,372.3946/JOS,Nutan Prakashan,Pune,1989,176,,,
465,Reference,Ratrandin Aamha,"Bhargave,Bhavana",B.Ed/465,75,1,,10,,370/BHA,Bhavsarita Prakashan,Nashik,1990,206,,,
466,Reference,Kashmir : Ek Shapit Nandanvan,"More,Sheshrao",B.Ed/466,200,1,,10,,891.46/MOR,Rajhansa Prakashan,pune,1995,439,,,
467,Reference,Vivekanandanchi Hindurashtra Sankalpana,"Modak,Ashok",B.Ed/467,20,1,,10,,,Moraya Prakashan,Dombivali,1994,96,,,
468,Reference,Spardha Pariksha Sampurna Engraji Vyakaran Va Shabdasangraha,"K'Sagar; Bhave,S.",B.Ed/468,45,1,,10,,491/BHA,K'Sagar publication ,Pune,1998,172,,,
469,Novel,Putra Manavacha,"Desai,Mrunalini",B.Ed/469,100,1,,10,,891.46/DES,Popular Prakashan,Mumbai,1992,384,,,
470,Reference,Bhartiya Tatvadnyan Vaicharik Aani Samajik Sangharsha,"Sardesai,S.G.",B.Ed/470,20,1,,10,,891.46/SAR,Lokvangmay Gruha,Mumbai,1989,113,,,
471,Novel,"Premchand Ki Sampurna kahaniyan, Khand-1",Premchand,B.Ed/471,200,1,,10,,891.46/PRE,Lokbharti Prakashan,Elahabad,1999,847,,,
472,Reference,"Shahane,Shkipra",Dinmahatmya,B.Ed/472,120,1,,10,,891.46/SHA,Unmesh Prakashan,Pune,2000,173,,,
473,Reference,Kashmir : Ek Jwalamukhi,"Pagadi,Setumadhavrao",B.Ed/473,60,1,,10,,891.46/PAG,Parchure Prakashan Mandir,Mumbai,1989,162,,,
474,Reference,Pannas Ek Varshat Mumbai Samudrat Budel?,"Khambete,D.P.",B.Ed/474,65,1,,10,,891.46/KHA,Chandrakala Prakashan,Pune,1994,140,,,
475,Reference,Vidnyan Aani Vaidnyanik,"Narlikar,Jayant",B.Ed/475,55,1,,10,,891.46/NAR,Shree Vidya Prakashan,Pune,1993,105,,,
476,Reference,Reki-Naisargik Upchar Paddhati,"Mali,Lata; Adhvalkar,Vasudev",B.Ed/476,60,1,,10,,370/MAL,Kirti Publication,Pune,1999,86,,,
477,Reference,Eailama Pailama Shikshan Deva,"Patil,Leela",B.Ed/477,40,1,,10,,370/PAT,Unmesh Prakashan,Pune,1990,171,,,
478,Poetry,Vaidehi,"Mate,Narayan Shreedhar",B.Ed/478,11,1,,10,,491/MAT,Pratima Prakashan,Pune,1991,73,,,
479,Education,Vidyabharti Shikshanik Prakalpa,"Koli,Santosh Shahajirao",B.Ed/479,50,1,,10,,891.46/KOL,Vidyabharti Prakashan,Latur,,124,,,
480,Education & Reference,Vyavaharik Marathi,"Tavare,Snehal",B.Ed/480,40,1,,10,,491/TAV,Snehavardhan Prakashan,Pune,1998,128,,,
481,Reference,Parivar Aur Samaj,"Baghel,D.S.",B.Ed/481,30,1,,10,,891/BAG,Madhyapradesh Hindi Granth Academy,Bhopal,1995,129,,,
482,Reference,Pathshala Bhang Kar do,"Kanunago,Induprakash",B.Ed/482,20,1,,10,,891/KAN,Madhyapradesh Hindi Granth Academy,Bhopal,1989,152,,,
483,Poetry,Aamchi Kavita,"Hoval,Vaman",B.Ed/483,50,1,,10,,891/HOV,Abhay Shikshan Kendra,Mumbai,1994,88,,,
484,Reference,Dr. Ambedkar ke Vichar,"Das,Bhagavan",B.Ed/484,30,1,,10,,891/BAG,Madhyapradesh Hindi Granth Academy,Bhopal,2002,142,,,
485,Poetry,Paulkhuna,"Patil,Sadananda",B.Ed/485,70,1,,10,,891/PAT,,Thane,2002,72,,,
486,Reference,Drushya Shravya Sahitya,"Pimpalkhare,M.H.",B.Ed/486,15,1,,10,,370.15/PIM,Anath Vidhyarthi Gruha,Pune,1969,216,,,
487,Reference,Shikshanatil Janiva,"Patil,Sadananda",B.Ed/487,100,1,,10,,370.15/PAT,,Thane,2003,92,,,
488,Reference,Letest General Knowledge Va Chalu Ghadamodi,K'sagar,B.Ed/488,80,1,,10,,370.15/KSA,K'Sagar publication ,Pune,1997,419,,,
489,Reference,The Universe in a Nutshell,"Hawking,Stephen",B.Ed/489,500,1,,10,,428/HAW,Bantam Books,New York,2001,216,,,
490,Reference,Aakashashi jadale Nate,"Narlikar,Jayant",B.Ed/490,800,1,,10,,891.46/NAR,Rajhansa Prakashan,Pune,1998,344,,,
491,Education & Reference,Bhartiya Samaj Aani Prathmik Shikshan,"Sali,V.Z.",B.Ed/491,80,1,,11,,301/SAL,Phadake Prakashan,Kolhapur,2005,303,,,
492,Reference,Samaj Parivartanachya Disha,"Waghmare,Janardan",B.Ed/492,120,1,,11,,891.46/VAG,Saket Prakashan,Aurangabad,1995,224,,,
493, Reference,Marathitil Laukikatavadi Sahityavichar,"Deshmukh,Arupa",B.Ed/493,180,1,,11,,891.46/DES,Sahitya Prasar Kendra ,Nagapur,1995,283,,,
494,Novel,The Historian,"Kostova,Elizabeth",B.Ed/494,690,1,,11,,823/KOS,"Little,Brown and Company",New York,2005,642,,,
495,Reference,Pragati's General Knowledge,"Pawar,I.D.",B.Ed/495,125,1,,11,,,Pragati Books Pvt. Ltd.,Pune,2002,1.1 - 14.14,,,
496,Reference,Durgadichya Burujavarun,"Latake,Girish",B.Ed/496,125,1,,11,,891/LAT,Chandanvel Prakashan,Thane,2015,168,,,
497,Drama,Gharat Fulala Parijat,"Kanetkar,Vasant",B.Ed/497,75,1,,11,,861/KAN,Popular Prakashan,Mumbai,2000,105,,,
498,Reference,Bhashan Va Natyavishayak Vichar,"Ranade,Ashok",B.Ed/498,160,1,,11,,891/RAN,Popular Prakashan,Mumbai,2001,171,,,
499,Novel,Aani Bharatmata Khandit Zhali,"Joshi,S.M.",B.Ed/499,180,1,,11,,,Manorama Prakashan,Mumbai,1996,286,,,
500,Reference,Chafa Kavita Aani Vividh Samikshak,"Nadakarni,S.S.",B.Ed/500,100,1,,11,,891.46/NAD,Gomantak Marathi Academi,Goa,1995,310,,,
501,Reference,Untouchable,"Chopra,D.K.;Kumar,Vinod",B.Ed/501,15,1,,11,,823/CHO,International Publishing House,Meerut,,238,,,
502,Education & Reference,Exceptional Children: Their Psychology And Education,"kar,Chintamani",B.Ed/502,60,1,,11,,370.15/CHI,Sterling Publishers Private Lim.,New Delhi,1998,183,,,
503,Education & Reference,Sharirik Shikshan,"Deshmukh,Balavant ",B.Ed/503,50,1,,11,,372.8/DES,Nalini Prakashan,Nagapur,2006,200,,,
504,Education & Reference,Sharirik Shikshan,"Deshmukh,Balavant ",B.Ed/504,50,1,,11,,372.8/DES,Nalini Prakashan,Nagapur,2006,200,,,
505,Reference,Mahatvakanksha,"Malavi,Vanaraj",B.Ed/505,60,1,,11,,891.46/MAL,Self Development Pulication,Dadar,1993,167,,,
506,Reference,Mule Aani Gunhegari,"Alvaris,Leela",B.Ed/506,35,1,,11,,891.46/ALV,Shree Vidya Prakashan,Pune,1986,127,,,
507,Reference,Vata Aaplya Hitachya,"Aathavale,Anant Damodar",B.Ed/507,40,1,,11,,891.46/AAT,Vishwatha Shri Radhadamodar Pratishthan,Pune,1911,240,,,
508,Reference,Twentieth Century Quotations,"J.M.;Cohen,M.J.",B.Ed/508,250,1,,11,,370/JM,Penguin Books Ltd.,London,1993,628,,,
509,Education & Reference,Parisar Abhyas,Vikas,B.Ed/509,17,1,,11,,504/VIK,Navneet Publications,Mumbai,2007,80,,,
510,Education & Reference,Parisar Abhyas,Vikas,B.Ed/510,17,1,,11,,504/VIK,Navneet Publications,Mumbai,2007,80,,,
511,Reference,Kavitechya Shodhat,"Dhere,Aruna",B.Ed/511,110,1,,11,,891.46/DHE,Suresh Egency,Pune,1996,143,,,
512,Reference,Yanni jag Badalale- Wright  Bandhu,"Vaishampayan,Meene",B.Ed/512,40,1,,11,,891/VAI,Oriental Longman Ltd.,Mumabi,2002,69,,,
513,Reference,Yanni jag Badalale- Alekzander Fleming,"Nadkarni,Suresh",B.Ed/513,40,1,,11,,891/NAD,Oriental Longman Ltd.,Mumbai,1998,64,,,
514,Reference,Yanni jag Badalale- Alekzander Graham Bell,"Nadkarni,Suresh",B.Ed/514,40,1,,11,,891/NAD,Oriental Longman Ltd.,Mumbai,2002,64,,,
515,Biography,Aadhya Shankaracharya : Jeevan Aani Vichar,"Khndkar,Arundhati",B.Ed/515,80,1,,11,,891.46/KHA,Shree Vidya Prakashan,Pune,1997,94,,,
516,Education & Reference,Marathiche Adhyapan,"Akolkar,G.V.;Patankar,N.V.",B.Ed/516,66,1,,11,,491.46/AKO,Vinus Prakashan,Pune,1990,424,,,
517,Reference,Kendra-Rajya Vittiya Sambandh,"Kher,C.P.",B.Ed/517,50,1,,11,,891.46/KHE,Dastanae Ramchandra & Company,pune,1993,142,,,
518,Reference,Marathi Kathechi Sthitigati,"Soman,Anjali",B.Ed/518,140,1,,11,,491.46/SOM,Pratima Prakashan,Pune,1995,294,,,
519,Reference,Agralekhancha Badshaha,"Khadilkar,Nilkantha",B.Ed/519,80,1,,11,,891.46/KHA,Shalaka Prakashan,Mumbai,1994,166,,,
520,Novel,Aapulki,"Deshpande,P.L.",B.Ed/520,80,1,,11,,891.46/DES,Mauj Prakashan gruha,Mumbai,2000,139,,,
521,Reference,Redio varil Bhashane Va Shrutika - Bhag-1,"Deshpande,P.L.",B.Ed/521,125,1,,11,,891.46/DES,Mauj Prakashan gruha,Pune,2002,205,,,
522,Biography,Suvarnachya Pradeshat,"Saynekar,Murlidhar",B.Ed/522,75,1,,11,,891.46/SAY,Rashmi Prakashan,Pune,1991,150,,,
523,Reference,GraMeenata : Sahitya Aani Vastav,"Yadav,Aanand",B.Ed/523,55,1,,11,,891.46/YAD,Meheta Publishing House,Pune,1993,155,,,
524,Novel,Rasidi Tikat,"Pritam,Amruta",B.Ed/524,120,1,,11,,891.46/AMR,Kitabghar Prakashan,New Delhi,2005,139,,,
525,Reference,Bhartiyancha Sahitya Vichar,"Patil,M.S.",B.Ed/525,60,1,,11,,891.46/PAT,Chetashree Prakashan,Amalner,1990,172,,,
526,Novel,Bandh-Anubandh,"Padhye,Kamal",B.Ed/526,150,1,,11,,891.46/PAD,Mauj Prakashan gruha,Mumbai,1995,268,,,
527,"Joshi,N.C.",Perspectives on Higher Education,"Joshi,Navin Chandra",B.Ed/527,100,1,,11,,378/JOS,Ashish Publishing House,New Delhi,1978,110,,,
528,Novel,Dashakriya,"Bhand,Baba",B.Ed/528,60,1,,11,,891.46/BHA,Saket Prakashan,Aurangabad,1995,136,,,
529,Education & Reference,Innovations In Education,"Lakshmi,S",B.Ed/529,175,1,,11,,370/LAK,Sterling Publishers Private Ltd,New Delhi,1992,208,,,
530,Reference,Prachin Bhartiya Loktantrik Shasanacha Etihas,"Vhatkar,Ashok",B.Ed/530,100,1,,11,,907/VHA,Madhuraj Publications Pvt. Ltd. ,Pune,1995,170,,,
531,Reference,Marathi Gazal : 1920-1985,"Kamble,Avinash",B.Ed/531,150,1,,11,,891.46/KAM,Nihara Prakashan,Pune,1995,240,,,
532,Reference,jagar,"Kurundakar,Narhar",B.Ed/532,85,1,,11,,891.46/KUR,Deshmukh & Company Pvt. Ltd.,Pune,1994,278,,,
533,Text Book,English Reader,Maharashra State Board,B.Ed/533,31,1,,11,,428.6/MAH,Maharashtra State Bureau of Text Book Production and Curriculam Research,Pune,2007,227,,,
534,Reference,Ganit (D.Ed. 1),"Kulkarni,Bharati; Vaidya,Ashok",B.Ed/534,80,1,,11,,510/KUL,Phadake Prakashan,Kolhapur,2006,326,,,
535,Reference,Bhartiya Gramshikshan,"Dange,Chandrakumar; Indapurkar,Chandrakant",B.Ed/535,25,1,,11,,370/DAN,Nilkanth Prakashan,Pune,,188,,,
536,Reference,Evaluation In schools,"Dandekar,W.N.",B.Ed/536,50,1,,11,,370.195/DAN,,,,384,,,
537,Reference,Vagmetihasachi Sankalpana,"Punde,Dattatray",B.Ed/537,150,1,,11,,370/PUN,Pratima Prakashan,Pune,1994,240,,,
538,Drama,Ashrunchi Zhali Phule,"Kanetkar,Vasant",B.Ed/538,75,1,,11,,891.46/KAN,Popular Prakashan,Mumbai,1999,109,,,
539,Drama,Prema Tuzha Rang Kasa?,"Kanetkar,Vasant",B.Ed/539,80,1,,11,,891.46/KAN,Popular Prakashan,Mumbai,2001,113,,,
540,Text Book,Ganit (Std.1)-2,Maharashtra Rajya Pathyapustak Nirmiti va Abhyaskram SanshodhanMandal,B.Ed/540,6,1,,11,,510/MAH,Maharashtra Rajya Pathyapustak Nirmiti va Abhyaskram SanshodhanMandal,Pune,2004,62,,,
541,Novel,Bindhasta,"Kadam,Baba",B.Ed/541,225,1,,11,,891.46/KAD,,,,,,,
542,Education & Reference,Shaikshanik Tatvadnyan va Shaikshanik Samajshatra,"Kundale,M.B.",B.Ed/542,300,1,,12,,301/KUN,Shree Vidya Prakashan,Pune,1996,691,,,
543,Education & Reference,Hindi Ki Adhyapan Paddhati,"Bobe,B.S.",B.Ed/543,70,1,,12,,491.43/BOB,Nutan Prakashan,Pune,1994,200,,,
544,Education & Reference,Introduction To Economics of Education,"Natarajan,S.",B.Ed/544,75,1,,12,,373/NAT,Sterling Publishers Private Ltd.,New Delhi,1990,77,,,
545,Reference,"Vada Chirebandi, Magna Talyakathi, Yugant- Ek Avlokan",Kamalesh,B.Ed/545,110,1,,12,,891.46/KAM,Sandarbha Prakashan,Pune,1996,160,,,
546,Education & Reference,Shaikshanik Mulyamapan va Sankhyashastra,"Dandekar,W.N.",B.Ed/546,100,1,,12,,371.260/DAN,,,,409,,,
547,Education & Reference,Shaikshanik Tantravidnyan,"Rao,Usha",B.Ed/547,25,1,,12,,601/RAV,Maharashtra Vidyapith Granth Nirmiti Mandal,Nagapur,1985,162,,,
548,Reference,Secondary School Administration,"Kochhar,S.K.",B.Ed/548,60,1,,12,,373/KOC,Sterling Publishers Private Ltd.,New Delhi,1991,468,,,
549,Education & Reference,Educatinal Psychology,"Mathur,S.S.",B.Ed/549,,1,,12,,370.15/MAT,,,,771,,,
550,Reference,Nagarikshastra Shikshan Kala,"Kudesiya,Umesh Chandra",B.Ed/550,25,1,,12,,373/KUD,Vinod Pustak Mandir,Agra,1991,290,,,
551,Education & Reference,Shaikshik evam Manovaigyanik Anusandhan ke Muladhar,"Tiwari,Govind",B.Ed/551,30,1,,12,,370.15/TIW,Vinod Pustak Mandir,Agra,1985,368,,,
552,Education,Methodology of Teaching of English,"kulkarni,M.R.",B.Ed/552,50,1,,12,,370.15/KUL,Abhinav Prakashan,Faizpur,1992,169,,,
553,Education,Foundations of Education,"Chaube,S.P.",B.Ed/553,85,1,,12,,370/CHA,Vikas Publishing House Pvt.Lim.,New Delhi,1994,343,,,
554,Education,Teaching of Mathematics,"Khanna,S.D.; Saxena,V.K.",B.Ed/554,30,1,,12,,510.1/KHA,Doaba House,Delhi,1989,272,,,
555,Education,Vidnyan Shikshan,"Rawat,D.S.",B.Ed/555,24,1,,12,,373/RAV,Vinod Pustak Mandir,Agra,1994,206,,,
556,Education & Reference,Educatinal Psychology,"Mathur,S.S.",B.Ed/556,80,1,,12,,370.15/MAT,,,,763,,,
557,Education & Reference,Pragat Shaikshik Manovigyan,"Bishta,Aabha Rani",B.Ed/557,30,1,,12,,,Vinod Pustak Mandir,Agra,,390,,,
558,Education & Reference,Hindi Shikshan ,"Pandey,Ramshakal",B.Ed/558,40,1,,12,,370.01/PAN,Vinod Pustak Mandir,Agra,1995,384,,,
559,Education & Reference,Shikshanachi Tatvik aani Samajshatriya Bhumika,"Parasnis,N.R.",B.Ed/559,125,1,,12,,370.01/PAR,Nutan Prakashan,Pune,1994,429,,,
560,Education & Reference,Hindi Shikshan,"Mangal,Uma",B.Ed/560,90,1,,12,,370/MAN,Aarya Book Depot,New Delhi,1991,340,,,
561,Biography,Vadildhari Manase,"Shelake,Shanta",B.Ed/561,100,1,,13,,891.46/SHE,Suresh Egency,Pune,1998,184,,,
562,Education,Loksankhya Shikshan,"Nagpure,V.R.;Jape,D.K.",B.Ed/562,50,1,,13,,304/NAG,Nutan Prakashan,Pune,1990,160,,,
563,Education & Reference,Shaikshanik Mulyamapan Paddhati,"Chaudhari,R.G.;Zhambre,M.A.",B.Ed/563,6,1,,13,,371/CHA,Suvichar Prakashan Mandal,Pune,1973,195,,,
564,Education & Reference,The Ground Work of Education,"Mangal,S.K.",B.Ed/564,20,1,,13,,370/MAN,Aarya Book Depot,New Delhi,1993,171,,,
565,Education & Reference,Finance And Management of Higher Education,"Nanjundappa,D.M.",B.Ed/565,180,1,,13,,370.01/NAN,Deep & Deep Pub. Pvt. Lim.,New Delhi,1994,161,,,
566,Biography,Great Indian Educational Philosophers,"Chaube,S.P.",B.Ed/566,25,1,,13,,370.15/CHA,Vinod Pustak Mandir,Agra,1987,248,,,
567,Education,Indian Education In The Emerging Society,"Mohanty,J.",B.Ed/567,125,1,,13,,370/MOH,Sterling Publishers Pvt. Ltd.,New Delhi,1991,205,,,
568,Education & Reference,Aajache Adhyapan,"Patil,Leela",B.Ed/568,200,1,,13,,370/PAT,Shree Vidya Prakashan,Pune,1996,234,,,
569,Education & Reference,Methodology of Teaching of English,"kulkarni,M.R.",B.Ed/569,50,1,,13,,370.15/KUL,Abhinav Prakashan,Faizpur,1992,169,,,
570,Reference,Shikshanatil Oasis,"Patil,Leela",B.Ed/570,50,1,,13,,370.11/PAT,Unmesh Prakashan,Pune,1988,189,,,
571,Poetry,Mazhya Kavita,"Rao,Usha",B.Ed/571,20,1,,13,,891.461/RAO,Vaibhav Printing Press,Phalatan,1990,96,,,
572,Poetry,Uddyogparva,"Rudra,Chandratmaj",B.Ed/572,80,1,,13,,891.46/RUD,Abhang Prakashan,Kolhapur,1991,161,,,
573,Biography,Deenanchi Savuli,"Deshpande,K.P.",B.Ed/573,60,1,,13,,891.46/RUD,Nutan Prakashan,Pune,1997,80,,,
574,Reference,Prachin Marathi Vangmayacha Etihas,"Deshpande,A.N.",B.Ed/574,120,1,,13,,891.46/DES,Vinus Prakashan,Pune,1988,458,,,
575,Reference,Marathi kavita - Navi Valane,"Kejkar/Deshpande,prakash",B.Ed/575,90,1,,13,,891.KEJ,Saket Prakashan,Aurangabad,1994,189,,,
576,Novel,Zhunja,"Inamdar,N.S.",B.Ed/576,200,1,,13,,891.46/INA,Continental prakashan,pune,2000,620,,,
577,Reference,Sarvansathi Pushparachna,"Kokad,A.D.",B.Ed/577,20,1,,13,,,Sun Publication,Pune,1992,56,,,
578,Reference,Krushi Ghatak,"Sabale,Ramchandra",B.Ed/578,125,1,,13,,370/SAB,Anmol Publications,Pune,1999,440,,,
579,Education & Reference,Jansankhya Shiksha,"Mallayya,K.C.",B.Ed/579,20,1,,13,,304/MAL,Vinod Pustak Mandir,Agra,1990,188,,,
580,Education & Reference,Prachin Marathi Vangmayacha Etihas -4,"Deshpande,Acchut Narayan",B.Ed/580,40,1,,13,,891.46/DES,Vinus Prakashan,Pune,1977,570,,,
581,Education & Reference,Shaikshanik Mulyamapan Paddhati,"Chaudhari,R.G.;Zhambre,M.A.",B.Ed/581,6,1,,13,,371/CHA,Suvichar Prakashan Mandal,Pune,1973,196,,,
582,Novel,"Mi, Mazhe, Mala","Pai,Shirish",B.Ed/582,100,1,,13,,891/PAI,Dimple Publication,Vasai,1994,197,,,
583,Education & Reference,Shaikshanik Va Prayogik Manasashatra ,"Jagtap,H.N.",B.Ed/583,250,1,,13,,370.15/JAG,Nitya Nutan Prakashan,pune,2005,542,,,
584,Education & Reference,Learning & Teaching -A Programmed introduction,"Stones,E.",B.Ed/584,158,1,,13,,370/STO,John Willy & Sons,Chicheater,1981,114,,,
585,Education & Reference,Methodology of Research In Education,"Sidhu,Kulbir Singh",B.Ed/585,150,1,,13,,310/SID,Sterling Publishers Pvt. Ltd.,New Delhi,1990,308,,,
586,Education & Reference,Ganit Adhyayan Paddhati,"Jagtap,H.N.",B.Ed/586,50,1,,13,,510/JAG,Nutan Prakashan,Pune,1990,199,,,
587,Story,,"Madgulakar,Ambadas;Khandekar,Suryakant",B.Ed/587,30,1,,13,,891.46/MAD,Thokal Prakashan,Pune,1990,218,,,
588,Novel,The Old Man And The Sea,"Hemingway,Ernest",B.Ed/588,50,1,,13,,891/ERN,Rupa & Co.,New Delhi,1999,109,,,
589,Biography,Aathvanitale Atre,"Parchure,Appa",B.Ed/589,250,1,,13,,370/PAR,Parchure Prakashan Mandir,Mumbai,1996,288,,,
590,Education & Reference,Prachin Marathi Vangmayacha Etihas,"Deshpande,A.N.",B.Ed/590,65,1,,13,,907/DES,Vinus Prakashan,Pune,1987,100,,,
591,Autobiography,Mi-S.M.,"Joshi,S.M.",B.Ed/591,65,1,,13,,891.46/JOS,Continental prakashan,Pune,1989,448,,,
592,Reference,Shaikshanik Tantravidnyan Marathi Paribhasha Suchi,"Kulkarni,Sharad;Joshi,Anant",B.Ed/592,10,1,,13,,370/KUL,Maharashtra Shaikshanik Tantravidnyan Parishad,Kolhapur,1990,40,,,
593,Novel,The Guide,"Narayan,R.K.",B.Ed/593,65,1,,13,,428.6/NAR,Indian Thought Publications,Mysore,1999,247,,,
594,Novel,Mahabharat kathasar,"Vaidya,C.V.",B.Ed/594,80,1,,13,,891.46/VAI,Varada Books,Pune,1989,395,,,
595,Novel,Padaghavali,"Dandekar,G.N.",B.Ed/595,125,1,,13,,891.46/DAN,Mauj Prakashan gruha,Mumbai,2005,222,,,
596,Novel,Aswastha Dashakachi Diary,"Dharmadhikar,Avinash",B.Ed/596,300,1,,13,,891/DHA,Meheta Publishing House,Pune,1995,468,,,
597,Education & Reference,Western Educational Philosophers,"Chaube,S.P.",B.Ed/597,35,1,,13,,370.01/CHA,Vinod Pustak Mandir,Agra,1991,337,,,
598,Reference,Mulanchya Jagat,"Gabale,Ram",B.Ed/598,40,1,,14,,,Ga Ma Bha Na Prakashan,Pune,2010,40,,,
599,Novel,Prakashachi Sawali,"Bhagavat, Smita",B.Ed/599,120,1,,14,,891/BHA,Moraya Prakashan,Dombivali,1996,260,,,
600,Reference,Mhaninvarun Nibandha,"Bhide,A.D.",B.Ed/600,50,1,,14,,,Mrunmayee Rugvedi Prakashan,Thane,2004,64,,,
601,Reference,Aanad Yadav yanchi Gotavala- Saad Aani Pratisad,"Yadav,Kirti Aanand",B.Ed/601,60,1,,14,,891/YAD,Pratima Prakashan,Pune,1991,188,,,
602,Autobiography,Kahreche Pani,Aacharya Atre,B.Ed/602,130,1,,14,,891/AAC,Parchure Prakashan Mandir,Mumbai,1994,410,,,
603,Drama,Charchaughi,"Dalvi,Prashant",B.Ed/603,80,1,,14,,370.19054/DAL,Popular Prakashan,Mumbai,2002,74,,,
604,Biography,Ek Hota Carver,"Gavankar,Veena",B.Ed/604,150,1,,14,,891/GAV,Rajhansa Prakashan,Pune,2002,184,,,
605,Reference,Sarvansathi shikshan,"Nagpure,Vasant",B.Ed/605,120,1,,15,,370/NAG,Jaydeep Prakashan,Pune,2001,165,,,
606,Reference,India : Resources And Regional Development,"Qureshi,M.H.",B.Ed/606,23,1,,15,,370/QUR,Rashtriya Shaikshik Anusandhan aur Prashikshan Parishad,New Delhi,2000,119,,,
607,Autobiography,Hatoda,"Gavandi,Pundalik",B.Ed/607,65,1,,15,,891.46/GAV,Moraya Prakashan,Dombivali,1992,172,,,
608,Education & Reference,School Management,"Panda,Upendra Nath",B.Ed/608,100,1,,15,,370/PAN,APH Publishing Corpration,New Delhi,2004,140,,,
609,Education & Reference,Hindi Aashayukta Adhyapan,"Pathan,B.B.",B.Ed/609,115,1,,15,,491.43/PAT,Nitya Nutan Prakashan,Pune,2008,208,,,
610,Reference,Reki-Abhinav Upchar Paddhati,"Damale,Shubhada",B.Ed/610,60,1,,15,,370/DAM,Meheta Publishing House,pune,2001,86,,,
611,Reference,Soneri Suvichar,"Belhekar,Rajesh",B.Ed/611,45,1,,15,,891.46/BEL,Unmesh Prakashan,Pune,1999,112,,,
612,Novel,Eka Ranvedyachi Shodhyatra,"Kunte,Krushnamegh",B.Ed/612,200,1,,15,,891.46/KUN,Rajhansa Prakashan,Pune,2003,169,,,
613,Education & Reference,Models of Teaching,"Joyce,Bruce;Weil,Marsha",B.Ed/613,95,1,,15,,370/JOY,Prentice Hall of India,New Delhi,1992,492,,,
614,Reference,Kshamatadhishtit Adhyapan,"Chavan,Kishor",B.Ed/614,,1,,15,,,Y.C.M.O.University,Nashik,2007,51,,,
615,Reference,Amrut Manthan,"Pai,Vamanrao",B.Ed/615,40,1,,15,,891.46/PAI,Namsampraday Mandal,Mumbai,1995,287,,,
616,Reference,Junior Great Books-series 2,The Great Books Foundation,B.Ed/616,,1,,15,,370.15/THE,The Great Books Foundation,Chicago,1992,227,,,
617,Reference,Haravlele Sushasan,"Godbole,Madhav",B.Ed/617,450,1,,15,,370/GOD,Vishwakarma Publication,Pune,2015,462,,,
618,Education & Reference,Shikshanatil Manasashastra,"Gogate,S.B.",B.Ed/618,45,1,,15,,370.15/GOG,Shree Vidya Prakashan,Pune,1976,701,,,
619,Drama,No Problem Aani 7 Ekankika,"Shashi,Bedekar",B.Ed/619,75,1,,15,,370/BED,Manorama Prakashan,Mumbai,2002,128,,,
620,Reference,Dharma Va Marksvad,"Karkhanis,L.S.",B.Ed/620,15,1,,15,,891.46/KAR,Lokwangmay Gruha,Mumbai,2005,40,,,
621,Education,An Introduction to Extension Education,"Supe,S.V.",B.Ed/621,29,1,,15,,370/SUP,Oxford & IBH publishing Co. Pvt. Ltd.,New Delhi,1990,166,,,
622,Education & Reference,Educatinal Technology,"Chand,Tara",B.Ed/622,60,1,,15,,601/CHA,Anmol Publications,New Delhi,1992,416,,,
623,Education & Reference,Nagarik Shastrache Adhyapan,"Patil, Nirmala",B.Ed/623,45,1,,15,,370/PAT,Sahitya Prasar Kendra ,Nagapur,1990,153,,,
624,Education & Reference,Communicative Language Teaching In English,"Pandi,Basibihari;Syryavanshi,Dnyaneshwar A.",B.Ed/624,115,1,,15,,370/PAN,Nutan Prakashan,Pune,2005,263,,,
